C1,C2,C3,C4,C5,C6,C7,C8,Marker
-3,-1,-3,-2,1,-2,0,-2,NAN
5,-2,-2,-3,-3,-2,-4,-4,NAN
-18,-3,-1,-1,-2,-3,-10,-11,NAN
7,-1,-1,0,-1,-2,-7,16,NAN
5,3,-1,-1,-1,-1,4,7,NAN
-2,-4,-2,1,0,-1,-2,-7,NAN
3,-2,-4,-4,-2,-1,1,-2,NAN
-9,-1,1,-2,-2,0,-3,-7,NAN
1,0,-1,-1,0,-2,-5,-1,NAN
-1,-2,1,-1,-2,0,4,-1,NAN
5,1,0,-1,-1,-1,6,6,NAN
-2,-5,-1,-2,0,0,2,-2,NAN
1,2,0,0,-1,-3,-5,0,NAN
-2,0,0,1,1,-1,0,-7,NAN
-4,-4,0,-2,-2,-3,-3,-2,NAN
0,1,0,0,-1,-2,-3,1,NAN
2,0,-2,-1,-2,-2,-5,-3,NAN
-2,-2,2,1,-2,-1,-1,0,NAN
3,-1,0,0,2,3,6,3,NAN
0,-2,-2,-1,0,1,3,-2,NAN
-4,-3,-3,-3,-3,-2,-2,-5,NAN
1,-3,-1,-1,-3,-1,1,1,NAN
5,-3,-2,-1,-1,-1,-6,-8,NAN
-1,-1,-2,-2,-1,-2,-2,2,NAN
-4,-2,-2,-4,-2,-2,-5,-1,NAN
0,-2,1,2,1,3,2,-3,NAN
2,-1,0,-2,0,-2,-3,-4,NAN
-1,-1,-3,-2,-2,-4,-3,-12,NAN
0,0,-1,-2,-1,3,6,3,NAN
-1,0,-3,-3,2,0,-3,1,NAN
-1,-1,0,0,-2,-2,0,-2,NAN
3,0,0,-1,-2,-3,-6,-3,NAN
-12,-5,-4,-2,-2,-2,-3,-5,NAN
1,1,-2,0,-2,0,1,2,NAN
-1,-1,0,-2,0,0,-2,0,NAN
0,0,0,-3,-1,0,2,-2,NAN
4,2,1,1,-2,-3,-3,2,NAN
-5,-2,-2,-3,-1,-3,-1,-3,NAN
-7,-3,-2,-2,-4,-1,-1,-1,NAN
-4,-1,2,1,0,0,0,1,NAN
-1,-3,-2,-2,1,4,-3,-9,NAN
2,0,-4,-1,-1,-5,-8,-9,NAN
-4,-1,0,0,-1,-3,-3,13,NAN
1,-2,1,-1,1,2,2,-1,NAN
-1,-1,0,2,-2,-3,-2,-5,NAN
1,0,-2,-4,-3,-2,-3,-7,NAN
-4,0,4,-1,0,3,6,-4,NAN
3,0,-2,0,0,-2,2,7,NAN
1,-3,1,-1,2,0,2,0,NAN
-10,-2,-3,-1,-1,0,0,-1,NAN
3,-1,-2,-2,-1,-2,-4,1,NAN
-4,0,-2,-1,-1,-2,0,1,NAN
4,2,1,0,-2,0,0,-3,NAN
-1,-2,-1,-2,0,3,0,1,NAN
0,-2,-1,1,-1,-1,3,6,NAN
0,-1,0,1,-1,-1,-4,-7,NAN
1,0,-4,-1,-2,-4,-2,6,NAN
-4,-2,1,-1,0,0,1,0,NAN
-1,-1,0,-1,1,-2,-3,-2,NAN
-3,-2,-3,-2,-3,-1,-3,-6,NAN
0,3,2,3,2,1,-1,3,NAN
0,-1,-4,-1,0,-1,-1,15,NAN
10,1,0,-1,2,-1,0,2,NAN
-18,-5,-2,-2,1,2,1,-8,NAN
7,-1,-1,-3,-3,1,-2,-4,NAN
-11,0,0,2,0,-1,2,-4,NAN
2,-1,-4,-1,-1,-3,-5,-5,NAN
2,1,-1,-1,0,1,5,10,NAN
-1,-2,-1,1,-2,-1,-2,-2,NAN
3,-2,0,-1,-4,-3,0,-1,NAN
-1,-2,-3,-1,0,3,5,1,NAN
-4,2,1,-1,0,-4,-3,-3,NAN
-1,-3,-4,-2,-1,-2,1,3,NAN
5,-2,0,0,0,-1,-1,0,NAN
-15,-2,0,-1,-2,-5,-6,-11,NAN
5,-1,-2,-3,-1,0,-2,6,NAN
-3,-1,-2,-3,-2,0,-2,2,NAN
4,0,-1,-1,1,-2,-3,-3,NAN
-2,0,1,-3,-4,-2,-6,-3,NAN
1,-1,-1,1,-1,1,0,-3,NAN
1,1,-1,-1,-1,0,3,2,NAN
-12,-3,-4,-3,-3,-3,-3,-4,NAN
2,0,1,0,0,-2,-4,2,NAN
0,-3,-2,-1,-2,0,0,4,NAN
1,0,1,0,0,0,2,0,NAN
-1,-1,-4,-2,-1,-4,-4,-2,NAN
-1,1,-3,0,-1,-1,7,3,NAN
0,-2,1,0,2,1,-1,-2,NAN
3,-2,-4,-3,-1,-1,0,7,NAN
-6,-1,2,-1,-2,-4,-1,-5,NAN
0,0,-2,1,1,0,-1,5,NAN
3,1,2,0,-4,-3,-2,-5,NAN
-2,-2,-1,-1,-2,-4,0,-6,NAN
1,-2,1,-1,-1,0,-2,1,NAN
-1,-2,-3,-2,-1,1,2,-3,NAN
2,-1,-2,0,-2,0,0,10,NAN
-4,0,0,0,0,-1,-4,-5,NAN
1,1,0,-1,-1,1,-2,-2,NAN
1,-1,-3,-1,-2,1,1,-4,NAN
-6,-2,-5,-3,-2,-2,-3,-8,NAN
-5,-3,0,1,0,-1,-1,-2,NAN
2,1,1,-1,-1,-1,1,3,NAN
-1,-1,-2,-1,-1,0,-8,-10,NAN
-3,-6,-6,-4,-4,-3,-6,-6,NAN
-2,0,-2,-1,-1,0,2,5,NAN
0,-1,-1,0,-2,0,-1,-1,NAN
1,-2,-3,-2,-1,-1,-1,2,NAN
-1,-1,0,1,-1,-2,-2,-2,NAN
-1,-1,-3,-3,-1,0,-2,-7,NAN
4,0,0,-1,0,0,-1,-3,NAN
-3,-2,0,-1,-1,-2,0,0,NAN
1,1,3,0,0,1,4,5,NAN
-4,1,-2,-1,-2,-3,-4,-3,NAN
-1,0,1,0,0,1,4,2,NAN
3,-1,-1,-4,-2,-2,3,1,NAN
-4,-1,-1,0,-1,0,-2,-3,NAN
-1,1,-1,-2,0,1,-3,-6,NAN
2,-1,-3,0,-4,-3,-1,12,NAN
-1,1,-2,-1,0,-1,0,-4,NAN
4,0,0,-1,-2,-1,0,-1,NAN
-8,-3,-2,-1,-2,-2,3,-2,NAN
0,-2,-2,-2,-2,1,0,-3,NAN
0,-1,1,0,-2,-3,-2,1,NAN
0,0,0,0,0,0,0,1,NAN
-7,-2,-3,-2,-2,-1,-5,-4,NAN
1,-1,-1,0,0,-1,1,-1,NAN
-1,-2,1,0,-2,-1,2,2,NAN
0,1,-1,-1,-1,-2,-8,-5,NAN
2,-2,-1,0,0,2,0,4,NAN
-2,-3,-3,-4,0,-4,-5,-4,NAN
-2,-1,-1,-1,-1,-1,1,0,NAN
0,-1,-2,-2,-1,-1,0,-1,NAN
-1,-2,-1,-4,-1,-2,0,0,NAN
-2,0,-3,-1,0,0,-2,0,NAN
-2,-3,-2,-1,0,1,-5,-2,NAN
-2,-2,-3,-2,-1,2,2,-2,NAN
3,0,1,1,-1,-2,1,1,NAN
4,1,0,-1,-1,-1,0,1,NAN
-9,-3,-2,0,-2,-2,-2,-5,NAN
1,-1,-1,-2,-2,1,3,0,NAN
-2,-1,0,0,-1,-2,-4,9,NAN
2,-1,1,-1,-2,-3,-2,-5,NAN
-9,-2,-3,-1,1,0,-1,-1,NAN
-1,-1,-1,-1,-2,-2,0,-3,NAN
-1,0,-1,0,-1,-1,-4,-7,NAN
-2,-2,0,-1,-1,-2,0,0,NAN
5,-1,-3,-2,-2,-1,-1,-1,NAN
-2,0,2,3,2,0,-1,0,NAN
-5,-2,0,-2,-2,-1,3,2,NAN
-2,1,-1,-2,0,2,4,0,NAN
0,-1,-4,-2,1,-2,-1,-4,NAN
3,-2,-2,-1,-1,-2,-1,4,NAN
4,0,3,0,-2,-3,-3,0,NAN
-5,0,-2,1,-1,0,0,-4,NAN
3,0,-1,-2,1,1,1,2,NAN
-1,-2,-2,-2,0,-1,-2,-2,NAN
-7,-2,-2,-1,-2,-1,-3,-2,NAN
-2,-4,-3,-2,0,1,-4,-5,NAN
1,-2,5,1,-4,-2,0,2,NAN
-1,2,-6,-2,-1,0,-1,-3,NAN
-3,-4,-2,-2,-1,0,1,-7,NAN
0,-2,-3,0,1,-1,-2,10,NAN
4,1,-2,-4,0,1,0,1,NAN
-3,-3,1,1,-2,-1,2,2,NAN
-3,-3,-4,1,-1,-1,-3,-4,NAN
0,1,5,-1,-3,-3,-5,-9,NAN
-2,-3,1,2,0,1,-1,-3,NAN
4,1,-3,-4,-2,-2,-1,5,NAN
6,1,2,0,0,0,-1,-2,NAN
-4,-4,-7,-3,-4,-1,-3,-4,NAN
-4,-1,3,2,-1,0,1,-7,STOP_TOUCHING
-2,-2,-1,0,0,-1,0,0,STOP_DRAW
1,0,-6,-5,0,-2,1,1,NAN
4,1,1,1,0,-2,-1,0,NAN
-13,-2,-1,-4,-3,1,-3,-5,NAN
-3,-1,-4,1,0,-1,-2,-1,NAN
4,-2,-2,0,-2,1,6,9,NAN
-3,-2,-1,0,2,0,2,-5,NAN
-1,1,1,0,-3,-5,-6,8,NAN
0,-2,2,1,-1,-5,-2,2,NAN
-2,0,-2,-3,-2,0,-5,-4,NAN
3,-1,-2,0,-1,-1,3,2,NAN
-3,0,-3,0,-1,-1,-2,-5,NAN
-1,0,2,-1,0,1,1,2,NAN
0,-3,0,0,-1,-4,-3,-5,NAN
-2,-1,-4,-1,-2,-2,-4,0,NAN
3,0,7,1,0,0,7,7,NAN
-8,-3,-6,-3,-4,-1,-2,-5,NAN
-3,-1,-1,0,1,-1,-1,0,NAN
0,1,0,0,0,-1,-1,1,NAN
4,-1,-5,-2,-2,-2,-4,-1,NAN
0,0,2,-1,-2,1,-3,-4,NAN
-3,1,5,0,-2,-1,-2,-4,NAN
2,-2,-2,-2,-1,0,-4,-3,NAN
-16,-5,-7,-1,-2,-1,1,-3,NAN
1,-1,1,0,1,0,-1,-4,NAN
1,0,-3,-1,0,-1,-2,-1,NAN
1,0,1,-2,-1,0,-1,12,NAN
4,-1,-2,-2,-2,1,-6,-4,NAN
-5,-1,-2,-3,-4,-3,1,-3,NAN
2,0,0,-1,-2,-2,2,-3,NAN
-9,-1,1,0,1,-2,-4,-10,NAN
2,-2,-3,-1,1,0,2,3,NAN
1,-2,-2,0,0,0,-1,5,NAN
4,-1,0,-2,0,-2,2,3,NAN
-1,-1,-1,1,-3,1,2,-2,NAN
-3,-2,0,-2,0,-1,-2,-3,NAN
1,-1,1,1,0,-1,-3,1,NAN
-4,0,0,1,0,0,0,1,NAN
-4,-3,1,-1,-2,-2,-1,-1,NAN
5,1,-2,-2,0,1,4,4,NAN
1,1,3,-2,-2,-2,-1,-2,NAN
-9,-4,-2,-1,-2,0,-3,-4,NAN
3,0,-1,-1,-1,-3,-2,-4,NAN
-5,0,0,1,0,-2,0,-3,NAN
0,-3,-7,-2,-2,0,0,2,NAN
2,1,3,-1,0,0,1,13,NAN
3,-2,-1,-1,-1,1,-2,-5,NAN
-14,-3,0,1,-2,-2,-4,-5,NAN
20,3,-1,-1,1,-3,1,1,NAN
1,2,-1,0,-1,2,-3,-3,NAN
-4,-3,-1,-1,-2,-4,0,0,NAN
4,-3,-1,-1,0,-1,-3,-5,NAN
-11,-1,1,1,0,-2,-3,0,NAN
1,-2,-3,-1,-2,-2,1,-1,NAN
1,1,0,-3,0,-1,1,5,NAN
2,-2,-4,-1,-1,-1,-2,1,NAN
-8,0,1,-2,-2,0,-4,-8,NAN
2,-2,-2,-2,-1,-2,-2,-2,NAN
-11,-2,1,1,0,1,-1,-5,NAN
5,1,1,-2,-1,-1,1,2,NAN
-4,-2,-2,-2,1,-1,1,0,NAN
-2,0,-5,-1,1,1,1,-7,NAN
4,0,1,-2,-2,-4,-4,-5,NAN
-1,-1,0,0,0,-1,-1,14,NAN
-8,-2,-1,-2,-2,-1,-2,-6,NAN
0,-1,2,1,0,-2,-2,-1,NAN
-3,-1,-2,-2,-2,-2,-1,-4,NAN
5,-1,-3,-2,-3,1,-1,0,NAN
-2,-1,2,0,-1,-3,-1,-4,NAN
-5,-3,-2,0,-2,-2,-4,-2,NAN
2,0,-3,-2,0,0,1,3,NAN
-2,-1,-1,0,-1,-3,-4,-3,NAN
-3,-1,-1,-1,1,0,-1,1,NAN
0,1,-4,-3,-1,-3,-1,-3,NAN
-7,-3,0,-2,0,0,-2,1,NAN
1,-2,-2,0,-1,0,-2,-5,NAN
-2,-2,-3,-2,-2,-2,2,-3,NAN
2,-1,-3,-2,-1,0,-1,-1,NAN
-5,-1,3,-2,0,0,-1,0,NAN
1,0,-1,1,-1,-1,1,-3,NAN
-7,-4,-2,-1,-2,0,-3,-3,NAN
-1,-1,-1,0,-1,1,0,1,NAN
1,-1,-3,0,-1,-1,1,3,NAN
0,-1,-1,-3,-2,-1,-1,-3,NAN
6,1,0,-2,0,-1,-1,6,NAN
-3,-2,-1,-1,0,1,-3,-5,NAN
-7,-1,-2,-2,0,-1,-2,-12,NAN
4,0,1,-1,-1,0,0,1,NAN
-15,-2,-2,0,2,0,2,12,NAN
0,0,-1,-2,-2,-2,-6,-9,NAN
2,-2,-2,0,-1,3,3,1,NAN
-1,0,-3,-2,-1,-3,-4,-5,NAN
5,0,2,0,-1,1,-1,-2,NAN
-12,-3,0,-1,0,1,0,-2,NAN
0,0,-3,0,-2,-2,-3,0,NAN
-2,-1,-1,0,0,-2,0,-3,NAN
4,-1,-2,-1,-2,-2,-3,0,NAN
0,-2,0,-1,0,-2,1,1,NAN
2,0,-1,-3,-2,-2,1,1,NAN
-2,-2,1,-1,-2,-1,-2,0,NAN
-1,0,0,1,0,0,-1,-1,NAN
-3,-2,0,0,-1,-2,-3,-5,NAN
0,-2,-1,1,0,-2,-2,5,NAN
-3,0,0,-3,-1,-3,-1,-7,NAN
4,0,-6,0,-2,-3,-4,2,NAN
2,-1,-2,0,0,-1,1,5,NAN
9,1,1,1,1,2,2,3,NAN
-12,-2,3,-2,-1,1,1,-4,NAN
-1,-1,-2,-2,-1,0,-2,-12,NAN
3,-1,-3,-3,-2,-2,-1,5,NAN
-2,-1,-1,-1,-1,0,-3,0,NAN
3,0,-4,-2,-1,-2,0,-2,NAN
1,-1,1,-3,0,0,0,0,NAN
-4,-3,0,-1,0,3,1,-4,NAN
0,0,-1,-1,-1,-1,1,-1,NAN
-2,-2,2,1,0,-1,-1,-1,NAN
-1,-2,-3,-1,-1,-2,-2,-1,NAN
-2,-2,1,-1,-4,-6,-4,-6,NAN
-3,-4,-3,-3,-3,-4,-7,-5,NAN
2,-2,-3,1,0,-3,2,5,NAN
2,0,1,-2,0,-2,-1,-4,NAN
-3,0,-1,1,0,-1,-1,-12,NAN
-5,0,0,-1,1,-1,-5,-4,NAN
5,0,-1,-2,0,-2,-2,15,NAN
1,0,-3,0,-1,0,0,-4,NAN
-3,-2,1,-3,-1,-2,-3,2,NAN
-1,0,-4,-1,-1,-1,2,-3,NAN
-3,-1,1,-3,-1,-2,-2,-6,NAN
1,2,-2,0,-1,-1,2,3,NAN
2,-1,-1,-1,-1,-1,-2,6,NAN
-4,-3,-2,0,-2,0,2,1,NAN
-6,-1,2,0,-3,-4,-7,-4,NAN
-5,-2,-2,0,7,1,0,-3,NAN
1,0,-4,-1,-2,-1,0,-2,NAN
0,0,2,-1,-1,0,0,0,NAN
2,0,-4,-2,-2,1,3,1,NAN
-2,-4,0,-2,-4,-3,-4,-5,NAN
4,1,1,-2,2,1,7,6,NAN
-3,-1,-1,-1,-1,-3,-1,-1,NAN
-8,-2,-4,0,0,0,-2,-3,NAN
-5,-2,0,-3,-2,-1,-5,-5,NAN
4,0,-1,-1,0,0,-1,2,NAN
-1,-2,-1,-1,-3,-3,-1,-7,NAN
0,0,0,-1,1,-1,-1,-2,NAN
1,0,1,0,0,2,3,16,NAN
-3,-2,-2,-2,-2,-1,0,-2,NAN
-2,2,0,0,1,0,0,-2,NAN
1,-5,-3,-2,0,2,2,0,NAN
-2,-2,-3,-4,-2,-3,-3,-3,NAN
-5,-2,1,-1,0,-1,-4,-4,NAN
0,0,-1,-1,-1,0,1,1,NAN
0,-1,0,0,0,0,-2,2,NAN
2,0,1,1,-3,-1,1,2,NAN
-8,-2,-2,-2,-3,-4,-6,-4,NAN
2,-3,-1,-2,0,0,0,1,NAN
1,1,3,-2,-1,-4,-1,-3,NAN
-10,-1,-2,-1,-1,1,2,-2,NAN
-2,-2,0,0,0,2,0,2,NAN
-1,-1,-1,-2,-2,0,-6,-1,NAN
-2,-4,-4,-1,0,-2,-4,-6,NAN
-2,-2,-2,-2,-3,-2,-2,-9,NAN
3,2,-3,-1,-1,-2,-1,9,NAN
0,-1,1,0,0,0,7,5,NAN
2,-2,-8,-1,0,-2,-1,-3,NAN
-2,-4,0,-2,-1,-2,-3,-6,NAN
-1,-1,-1,-2,-2,-3,-5,-7,NAN
-2,0,0,-1,-1,-2,-2,1,NAN
-2,0,2,-1,-1,2,2,0,NAN
4,-1,-1,-1,-1,0,1,-2,NAN
-8,1,3,1,1,1,0,-3,NAN
0,-3,-5,-2,-3,-1,-4,-1,NAN
3,2,1,2,0,0,0,2,NAN
0,-3,0,0,0,-1,0,2,NAN
4,1,0,-1,0,1,-1,-1,NAN
0,-1,-1,-1,1,-1,-3,-3,NAN
-3,-4,-4,-4,-3,-2,0,-5,NAN
-1,1,-2,1,1,1,-1,-2,NAN
0,-2,2,1,0,-2,-2,-5,NAN
0,-1,-4,0,0,1,2,15,NAN
2,-1,1,-2,-2,-4,-5,-2,NAN
-2,0,0,-4,-4,-3,-3,-5,NAN
-2,-1,-3,-3,0,0,2,-4,NAN
2,-2,1,0,1,-1,-2,-5,NAN
-13,-1,-1,-2,-2,0,-3,-1,NAN
1,0,-1,1,-1,-2,-1,2,NAN
-7,-3,-1,-1,-3,-2,1,-2,NAN
1,-1,-2,1,0,0,-2,-3,NAN
1,-1,-1,-1,-1,1,2,3,NAN
-3,-2,-1,-1,-1,-2,-4,-1,NAN
3,-2,-2,-2,-1,-1,1,3,NAN
-3,-2,2,-2,-3,-1,-1,-4,NAN
0,1,-2,-1,1,-2,1,-2,NAN
-5,-4,2,-2,-1,0,-1,-2,NAN
4,0,-5,1,2,-2,0,3,NAN
-4,-1,0,-2,0,0,4,-2,NAN
-2,-1,0,0,-1,0,-2,-2,NAN
3,-2,1,-1,-2,-4,1,1,NAN
-2,-3,-2,-3,-1,-1,2,2,NAN
-4,-2,-3,-3,-3,-3,-5,-7,NAN
5,-1,0,2,1,1,0,-1,NAN
-12,0,-1,1,2,2,1,-5,NAN
2,0,1,1,-2,-3,-1,9,NAN
-1,0,-1,-1,1,0,0,-1,NAN
5,0,1,0,0,-2,0,6,NAN
1,-2,-2,-2,-3,-1,-1,-4,NAN
-2,-1,-3,-1,0,-1,-3,-9,NAN
-2,0,-2,-1,-2,-1,-2,-2,NAN
-3,-1,-2,1,-3,0,-3,0,NAN
1,-2,-5,-1,0,-2,2,0,NAN
-2,-1,7,-3,-1,-1,0,-1,NAN
-4,-3,-5,0,-1,-1,-1,1,NAN
-2,-3,-5,-2,1,-1,-1,-4,NAN
-1,1,0,0,-2,-2,-5,1,NAN
2,0,-2,-5,-4,-1,1,1,NAN
-3,-2,0,-1,-2,-4,-4,-7,NAN
3,1,0,0,-1,2,-1,0,NAN
-5,0,0,-2,-1,0,0,3,NAN
0,1,-4,0,-2,-2,-4,-7,NAN
-5,-1,-1,-1,-2,-3,0,-2,NAN
1,1,-2,-2,-2,-5,-4,9,NAN
-3,-4,-2,-2,0,-1,-2,-6,NAN
-1,-3,-3,0,-1,1,-2,-7,NAN
-1,-2,0,-2,1,-2,-1,-5,NAN
0,-1,1,-1,-1,0,-2,-2,NAN
1,-4,-4,-2,-1,-4,-3,-1,NAN
-4,0,5,1,0,-2,-2,-1,NAN
0,0,1,1,0,0,1,-1,NAN
-1,1,-4,-4,-2,-3,0,-2,NAN
-1,2,2,0,0,1,-1,1,NAN
2,0,-2,-2,0,-1,-1,-4,NAN
-10,-5,1,0,0,0,-2,-2,NAN
-1,0,2,-1,-1,-1,0,1,NAN
4,0,-3,0,-2,0,1,-1,NAN
-2,-4,-3,-3,-1,-3,-3,0,NAN
1,0,-4,-2,-2,0,2,4,NAN
-4,-2,-1,0,0,1,-3,-4,NAN
1,2,-1,-2,-2,-3,-5,-6,NAN
1,1,-1,0,1,2,1,3,NAN
0,-3,1,-2,0,0,-2,-3,NAN
-3,-2,0,0,0,-1,-1,-7,NAN
-1,0,-1,1,0,0,1,-2,NAN
-1,0,-3,0,-3,-1,1,11,NAN
2,2,0,-1,-2,-1,0,-1,NAN
2,-2,-4,0,0,-1,-1,-4,NAN
-1,-2,1,-3,-2,-1,-3,-3,NAN
-3,-4,-3,-1,0,-1,-1,-3,NAN
-1,-1,-1,-2,-1,0,3,-1,NAN
-1,0,0,1,0,0,0,5,NAN
2,-1,-2,-2,-1,-3,-2,-2,NAN
0,-3,-3,-1,0,-2,1,-2,NAN
-8,-3,-2,-3,-1,-3,-5,0,NAN
-4,0,1,-1,-2,-2,-3,-7,NAN
1,0,-2,-1,-1,0,2,5,NAN
0,2,-1,-1,-1,-2,-4,-1,NAN
0,-5,-5,-2,-2,-1,-2,-3,NAN
-3,-1,-2,-1,0,-1,-1,-3,NAN
1,-2,-1,0,1,-1,-1,3,NAN
-10,-2,-2,-3,-3,0,3,-4,NAN
2,3,-2,0,-2,-1,0,0,NAN
-2,-2,-2,-1,-1,2,0,-2,NAN
1,-1,0,0,-1,-2,1,12,NAN
0,2,-2,-2,0,-2,-2,-8,NAN
1,1,-2,1,0,-2,-1,-2,NAN
-5,-4,0,-1,-3,-2,-1,-3,NAN
-1,0,1,0,-2,-2,0,-4,NAN
5,0,-2,-2,-2,-1,-4,2,NAN
-9,-2,-1,-1,1,-2,-1,-1,NAN
-4,1,0,-2,-1,1,-2,-6,NAN
0,-1,-1,0,-1,-1,1,4,NAN
-1,-2,0,-1,-1,-2,-2,2,NAN
6,-1,-1,-1,0,-2,-4,-1,NAN
-2,-5,-3,-2,-1,-3,-1,2,NAN
-6,0,0,0,2,0,1,0,NAN
1,-1,1,1,0,0,0,1,NAN
2,-1,1,-2,-3,0,0,-1,NAN
2,1,-5,-3,-1,-2,0,2,NAN
-8,-3,4,0,-2,-1,-4,-5,NAN
-6,0,0,0,-1,0,-1,-9,NAN
3,1,-1,-1,2,1,-1,3,NAN
3,0,-3,1,-2,-2,0,13,NAN
-4,-2,-1,-1,-2,1,-3,-9,NAN
0,-3,-3,-2,-2,-3,-3,-3,NAN
-3,-1,-1,0,-1,-3,-3,-5,NAN
0,1,0,-2,0,2,-2,-5,NAN
0,-1,-1,0,0,-1,1,1,NAN
-2,-2,-1,-3,0,-2,-1,-1,NAN
0,-1,-2,-1,0,-1,-3,-2,NAN
1,0,0,-1,-1,-2,-3,-4,NAN
-4,-3,-3,-1,-4,-2,-2,-3,NAN
0,-1,-1,0,0,-1,0,5,NAN
-1,-1,0,-2,-2,0,0,-3,NAN
-1,0,-2,-2,1,0,0,-3,NAN
0,-1,0,0,1,0,-1,-1,NAN
-3,-3,-2,-3,-2,-2,-3,-2,NAN
0,-2,-5,-3,-2,-2,-1,0,NAN
1,1,1,1,-1,-1,-2,-6,NAN
3,0,-3,-1,-1,0,0,3,NAN
-4,-1,-3,0,-1,-1,-1,7,NAN
5,0,1,-1,-1,0,5,8,NAN
-2,-3,0,-1,0,-2,-3,-5,NAN
4,-1,-4,-1,-3,-4,-5,-4,NAN
0,-2,0,0,-2,0,0,-3,NAN
-8,0,-1,-1,-4,-2,-6,-7,NAN
2,0,-3,-1,-1,-1,0,3,NAN
-3,-1,1,-1,0,1,4,1,NAN
-2,-3,0,-1,-1,-2,-1,-4,NAN
0,0,2,1,-2,1,-2,-1,NAN
-4,-1,-1,0,-1,-1,1,-2,NAN
-1,0,-2,-4,-3,-2,-3,-1,NAN
0,-2,-1,3,1,-1,0,0,NAN
2,0,2,-1,0,-1,-3,-4,NAN
-6,-3,0,-2,-1,-2,-2,6,NAN
0,-2,-4,-2,-1,-1,0,-3,NAN
-1,-1,0,-1,-1,1,1,-9,NAN
-5,-3,0,0,1,1,2,9,NAN
2,0,0,0,0,-2,1,3,NAN
0,-1,0,-2,0,-1,-2,-3,NAN
2,-1,-2,-2,-1,-4,-3,-3,NAN
-2,-1,-2,-1,-2,-1,-1,-7,NAN
-3,-1,1,-1,-1,-1,0,-2,NAN
-1,-3,-4,-3,-2,-1,-2,1,NAN
-2,1,0,0,-2,-1,-1,-3,NAN
-1,-2,-3,-2,0,-2,-2,0,NAN
0,-2,-2,-3,0,-1,-2,-3,NAN
2,0,2,1,-1,-2,-4,-4,NAN
-1,-1,1,-1,-2,-1,-3,-1,NAN
-9,-2,-1,-2,-2,-1,1,2,NAN
-1,-1,-1,-1,-2,0,0,-2,NAN
0,1,-2,-1,-2,-2,-1,-2,NAN
0,-1,1,1,-1,-1,-3,0,NAN
2,0,-4,0,-2,-1,0,-4,NAN
-5,-4,1,-2,-1,-1,-1,-2,NAN
-3,0,0,-1,-1,-1,-1,-4,NAN
0,1,0,-1,-1,-1,-1,1,NAN
6,1,-1,0,0,-1,-1,8,NAN
-5,-4,-6,-1,0,-3,0,-6,NAN
-2,-1,-1,0,1,0,4,6,NAN
-3,1,-1,0,-1,0,0,-6,NAN
-3,-3,-2,0,0,-1,0,-5,NAN
-1,1,1,0,-3,-3,-2,2,NAN
-1,-2,-2,-3,-2,2,3,1,NAN
-1,-1,-3,-3,-1,-1,0,3,NAN
0,0,0,-1,-1,-1,-1,0,NAN
1,1,1,0,0,0,-3,-2,NAN
-1,1,-3,0,0,1,-1,-4,NAN
-1,0,1,2,1,2,-1,0,NAN
0,-1,-1,-3,-3,-1,2,-2,NAN
-1,-1,-2,-2,0,0,0,-1,NAN
1,-3,-2,1,0,-1,-1,-2,NAN
2,0,-4,-3,0,-1,-3,3,NAN
-6,-1,2,-1,-2,-1,-3,-5,NAN
2,0,-2,0,-1,3,2,0,NAN
-5,0,-1,-1,0,-2,-4,-6,NAN
-2,-1,-2,-2,-2,0,0,6,NAN
7,0,-1,1,2,0,1,7,NAN
0,-2,-7,-3,-2,-1,-3,-7,NAN
0,1,1,1,-1,-1,-4,-3,NAN
1,1,0,-1,-1,-1,1,-7,NAN
-8,-3,-1,-2,0,-2,-2,-4,NAN
-1,1,3,0,-1,-2,0,4,NAN
2,0,-1,0,-2,0,-2,1,NAN
-3,-2,-2,-4,-3,-3,-2,0,NAN
1,-2,-4,-2,-1,-1,0,0,NAN
-2,0,-2,-4,-3,-4,-10,-5,NAN
-2,-2,-4,-2,-1,0,0,2,NAN
1,-1,-2,0,-1,1,2,2,NAN
-2,-1,-1,-1,-1,-1,-1,-2,NAN
-3,-2,0,0,-1,1,-2,-4,NAN
0,-4,1,-1,-1,-3,-1,3,NAN
-2,-2,-6,-1,-2,0,-1,-5,NAN
-1,-2,3,1,-3,-2,-4,-3,NAN
-6,0,0,0,-2,0,-1,-5,NAN
-5,0,1,-1,0,1,1,3,NAN
3,-2,-1,-2,0,0,1,13,NAN
-1,0,1,0,-1,-1,0,-6,NAN
-1,0,2,0,0,0,1,0,NAN
0,-2,-2,0,-3,-2,-3,-8,NAN
-5,0,-1,0,-1,-1,3,-4,NAN
3,-1,-2,-1,1,2,0,1,NAN
0,-2,-1,-1,0,0,-1,-1,NAN
-2,-1,-1,-2,-2,0,0,1,NAN
1,2,1,0,-2,-2,-5,-3,NAN
-5,-4,-1,-2,-2,-3,-1,0,NAN
2,-1,-3,-1,2,1,3,5,NAN
0,0,-5,0,0,-1,1,2,NAN
-1,-3,0,-1,0,-1,-2,-6,NAN
0,-2,-4,-1,-2,-3,-4,-5,NAN
-2,-2,-2,-1,-2,-4,-1,0,NAN
1,-1,-1,0,1,-1,-1,-3,NAN
-2,-1,2,0,1,-3,-2,-6,NAN
1,1,-3,-1,-1,0,-3,6,NAN
